%time,field.wheel,field.state
1494450180458341172,1,1
1494450180536098275,1,0
1494450181321975850,1,1
1494450181538265673,1,0
1494450181796494504,1,1
1494450182052701733,1,0
1494450182263334207,1,1
1494450182336339647,1,0
1494450182379514663,1,1
1494450182482346414,1,0
1494450182756478556,1,1
1494450182838369848,1,0
1494450182898275873,1,1
1494450182936331769,1,0
1494450183268210876,1,1
1494450183638834922,1,0
1494450183938131692,1,1
1494450184278036847,1,0
1494450184639084086,1,1
1494450185025884983,1,0
1494450185341138444,1,1
1494450185801140822,1,0
